date,state,death,death_confirmed,death_increase,death_probable,hospitalized,hospitalized_currently,hospitalized_increase,in_icu_cumulative,in_icu_currently,negative,negative_increase,negative_tests_antibody,Negative_Antibody_Tests_People,negative_tests_viral,on_ventilator_cumulative,on_ventilator_currently,positive,positive_cases_viral,positive_increase,Positive_Antibody_Test,Positive_Antigen_Test,Positive_Antibody_Test_People,positive_tests_people_antigen,positive_tests_viral,recovered,total_test_encounters_viral,total_test_encounters_viral_increase,total_test_results,total_test_results_increase,total_tests_antibody,total_tests_antigen,total_tests_people_antibody,total_tests_people_antigen,total_tests_people_viral,total_tests_people_viral_increase,total_tests_viral,total_tests_viral_increase
2021-02-15,CO,5826,5106,2,720.0,22812.0,462.0,15,0.0,0.0,2110671.0,2769,325347.0,0.0,0.0,0.0,0.0,414369.0,392591.0,533,52077.0,0.0,0.0,0.0,0.0,0.0,5861313.0,9356,5861313.0,9356,378747.0,0.0,0.0,0.0,2503262.0,3268,0.0,0
2021-02-14,CO,5824,5104,10,720.0,22797.0,485.0,19,0.0,0.0,2107902.0,4289,324201.0,0.0,0.0,0.0,0.0,413836.0,392092.0,853,51825.0,0.0,0.0,0.0,0.0,0.0,5851957.0,22002,5851957.0,22002,377424.0,0.0,0.0,0.0,2499994.0,5124,0.0,0
2021-02-13,CO,5814,5094,24,720.0,22778.0,481.0,75,0.0,0.0,2103613.0,5157,322549.0,0.0,0.0,0.0,0.0,412983.0,391257.0,1209,51235.0,0.0,0.0,0.0,0.0,0.0,5829955.0,30597,5829955.0,30597,376026.0,0.0,0.0,0.0,2494870.0,6261,0.0,0
2021-02-12,CO,5790,5071,9,719.0,22703.0,470.0,48,0.0,0.0,2098456.0,8431,320525.0,0.0,0.0,0.0,0.0,411774.0,390153.0,2091,50461.0,0.0,0.0,0.0,0.0,0.0,5799358.0,43208,5799358.0,43208,373784.0,0.0,0.0,0.0,2488609.0,10293,0.0,0
2021-02-11,CO,5781,5063,11,718.0,22655.0,507.0,39,0.0,0.0,2090025.0,13828,317419.0,0.0,0.0,0.0,0.0,409683.0,388291.0,1722,49359.0,0.0,0.0,0.0,0.0,0.0,5756150.0,71519,5756150.0,71519,370986.0,0.0,0.0,0.0,2478316.0,16006,0.0,0
2021-02-10,CO,5770,5055,24,715.0,22616.0,534.0,55,0.0,0.0,2076197.0,0,317419.0,0.0,0.0,0.0,0.0,407961.0,386723.0,751,49359.0,0.0,0.0,0.0,0.0,0.0,5684631.0,0,5684631.0,0,366778.0,0.0,0.0,0.0,2462310.0,0,0.0,0
2021-02-09,CO,5746,5031,13,715.0,22561.0,538.0,232,0.0,0.0,2076197.0,3113,315946.0,0.0,0.0,0.0,0.0,407210.0,386113.0,934,48994.0,0.0,0.0,0.0,0.0,0.0,5684631.0,12417,5684631.0,12417,366778.0,0.0,0.0,0.0,2462310.0,3842,0.0,0
2021-02-08,CO,5733,5020,2,713.0,22329.0,535.0,23,0.0,0.0,2073084.0,4993,314239.0,0.0,0.0,0.0,0.0,406276.0,385384.0,987,48488.0,0.0,0.0,0.0,0.0,0.0,5672214.0,18685,5672214.0,18685,364940.0,0.0,0.0,0.0,2458468.0,5832,0.0,0
2021-02-07,CO,5731,5020,10,711.0,22306.0,527.0,29,0.0,0.0,2068091.0,5694,308913.0,0.0,0.0,0.0,0.0,405289.0,384545.0,1034,46993.0,0.0,0.0,0.0,0.0,0.0,5653529.0,25243,5653529.0,25243,362727.0,0.0,0.0,0.0,2452636.0,6637,0.0,0
2021-02-06,CO,5721,5010,17,711.0,22277.0,538.0,19,0.0,0.0,2062397.0,7057,308913.0,0.0,0.0,0.0,0.0,404255.0,383602.0,1541,46993.0,0.0,0.0,0.0,0.0,0.0,5628286.0,33861,5628286.0,33861,360904.0,0.0,0.0,0.0,2445999.0,8373,0.0,0
2021-02-05,CO,5704,4994,27,710.0,22258.0,564.0,82,0.0,0.0,2055340.0,8821,308913.0,0.0,0.0,0.0,0.0,402714.0,382286.0,1863,46993.0,0.0,0.0,0.0,0.0,0.0,5594425.0,43290,5594425.0,43290,358310.0,0.0,0.0,0.0,2437626.0,10483,0.0,0
2021-02-04,CO,5677,4970,13,707.0,22176.0,595.0,59,0.0,0.0,2046519.0,8041,306480.0,0.0,0.0,0.0,0.0,400851.0,380624.0,1584,46365.0,0.0,0.0,0.0,0.0,0.0,5551135.0,36937,5551135.0,36937,355906.0,0.0,0.0,0.0,2427143.0,9490,0.0,0
2021-02-03,CO,5664,4957,14,707.0,22117.0,572.0,121,0.0,0.0,2038478.0,6571,305403.0,0.0,0.0,0.0,0.0,399267.0,379175.0,1269,46020.0,0.0,0.0,0.0,0.0,0.0,5514198.0,32093,5514198.0,32093,352845.0,0.0,0.0,0.0,2417653.0,7626,0.0,0
2021-02-02,CO,5650,4942,9,708.0,21996.0,599.0,152,0.0,0.0,2031907.0,3429,304125.0,0.0,0.0,0.0,0.0,397998.0,378120.0,935,45740.0,0.0,0.0,0.0,0.0,0.0,5482105.0,14235,5482105.0,14235,351423.0,0.0,0.0,0.0,2410027.0,4148,0.0,0
